|CanTrx_Tarjetas|MonTrx_Tarjetas|SaldoCTS|SOW_SCO|CanTrx_TC|Can_Ingresos_Glomo|NroCtasAhorro|MaxLinTC|SaldoActivo_SSFF|Edad|SaldoAhorro|ME_TOTAL|Sueldo
0|95|14411.3|0.0|0.0|74|47|3|15000.0|412801.56|33|35437.14|23509.44|19042.28
1|1|700.0|3.81072|0.0|1|0|1|700.0|3648.78|51|502.03|2000.0|1500.0
2|3|872.11|61.4109|0.0|3|0|1|3000.0|13885.04|44|596.66|5257.47|2902.89
3|6|491.91|42225.43|0.0|5|16|3|97809.0|2292502.2|73|377102.49045|29987.697|15332.2
4|42|7355.93|887.01|0.0|27|0|4|45100.0|8573.38|37|108513.44804|68779.09|12214.02
5|156|6506.61|0.46|0.0|35|81|2|23553.0|24900.99|39|2565.94|23372.94|8146.56
6|7|1902.17|0.0|0.0|6|6|3|13500.0|2191.35|35|90587.30435|13753.694|9401.35
7|1|479.0|0.97|0.0|1|2|1|6900.0|1488.74|40|21.18|1421.58|1441.5
8|11|8875.87|3439.13|0.0|2|0|1|90000.0|37657.37|48|18187.53|13184.28|8662.09
9|18|1537.25|277.77|0.0|16|13|2|30000.0|7641.51|42|139945.1504|7474.304|5000.0
10|61|2782.58|0.0|0.0|28|4|2|88200.0|28584.82|43|23769.309|7063.573|23776.7
11|26|1301.66|0.0|0.0|13|28|2|20900.0|10151.91|35|1572.98|13691.832|10357.99
12|54|1275.32|1.92|0.0019|0|53|3|58201.2|1785176.6|47|1097.15|103546.33|13976.0
13|13|2054.96|0.0|0.0|1|10|2|51100.0|148278.17|53|84729.89824|9234.429|13000.0
14|33|9075.44|6170.80178|0.0|0|7|4|33300.0|10487.68|49|66958.02052|14825.23|1389.37
15|35|1666.56|0.0|0.0|18|4|1|1500.01|22007.63|36|2040.82|8746.42|4006.99
16|16|2569.28|0.0|0.3372|14|0|2|76500.0|17535.53|44|806.4495|27180.96|16232.21
17|73|3809.19|0.0|0.0|2|34|3|15000.0|13286.73|32|29086.2971|7017.9585|6403.53
18|25|2287.8|0.0|0.0|6|29|1|3100.0|3683.9|32|993.2|5745.89|3112.9
19|15|2093.4|0.0|0.0|3|116|1|7500.0|5752.82|47|2379.64|5975.78|6831.2
20|107|9368.81|1.15|0.0|95|9|3|25000.0|166142.98|24|12684.92|20317.668|23529.2
21|34|2994.85|0.0|0.0|30|5|1|6700.0|2968.71|33|166.86|4187.56|1851.36
22|2|16.0|0.95|0.0|0|18|1|3860.0|16625.79|41|1577.5|2139.59|2600.26
23|12|1095.85|10.42|0.0|0|12|1|18100.0|64306.76|40|287.72|2690.98|2618.1
24|12|2334.92|0.0|0.0|2|14|2|68300.0|174.9|65|3397.32|5298.02|8985.14
25|15|1836.73|1.02|0.0|9|0|2|4803.5|9234.0|44|21.58|4183.97|2651.2
26|31|7157.11|32034.332|0.0|14|53|3|52500.0|4080.98|49|159866.66256|9122.992|12411.09
27|2|69.89|4.49046|0.0|2|0|3|15400.0|188563.66|47|17057.74026|3207.11|3048.25
28|72|6010.26|0.04|0.0|6|63|1|47681.23|49913.54|25|602.06|12866.68|2169.1
29|6|1616.79|0.09|0.0|0|19|1|35300.0|18584.18|26|879.8|3532.79|3676.97
30|2|431.6|322.5839|0.0396|2|5|4|61801.0|624974.6|64|2786.27|3914.74|10347.74
31|25|2639.79|0.34|0.0|8|22|4|9040.51|187448.62|26|4147.66|6744.39|5799.57
32|23|1533.66|0.01|0.0|0|16|1|22500.0|10056.11|37|1662.15|2678.19|1299.15
33|30|2358.36|0.0|0.0|8|28|1|31000.0|3256.61|37|180.13|4866.92|7709.89
