|GNB|2_Premium|LIMA_MODERNA|A|B|Riesgo_Bajo|LIMA_SUR|Antiguedad_SSFF|NroTrxAgencia|1_Beyond|Frescura|NroTrxATM|SBP|Can_Contactabilidad_3UM|3_Preferente|SaldoHIP|D|Superior|SaldoVEH|DIVORCIADO|ImporteTrxWeb|ImporteTrxCorresponsal|M|MontoOfertado|Edad|class
0|1|0|0|0|0|1|0|12.0|0.0|0|5.0|7.0|0|3.0|0|137534.35|1|0|0.0|0|0.0|0.0|0|17750.0|46.0|0.0
1|0|0|0|0|0|1|0|8.0|6.0|0|2.0|9.0|0|0.0|0|0.0|0|0|0.0|0|721.83|0.0|0|9000.0|54.0|0.0
2|0|0|0|0|0|1|1|11.0|6.0|1|5.0|11.0|0|0.0|0|819824.98|0|0|0.0|0|0.0|4681.2|1|18000.0|49.0|1.0
3|0|0|1|0|0|0|0|5.0|0.0|0|4.0|0.0|0|3.0|1|0.0|1|0|3546.001200000057|1|1090.3|0.0|1|2000.0|0.0|1.0
4|0|0|0|0|1|1|0|13.0|0.0|1|0.0|0.0|0|3.0|0|819841.5606|0|1|0.0|0|3662.58|0.0|1|18000.0|53.0|1.0
5|0|0|0|0|0|1|0|6.0|7.0|0|0.0|6.0|1|2.0|0|0.0|0|1|0.0|1|1430.93|704.5|0|9700.0|43.0|0.0
6|0|0|0|0|0|0|0|5.0|7.0|1|4.0|9.0|0|0.0|0|0.0|0|0|0.0|0|1468.18|599.17|1|8000.0|75.0|1.0
7|0|0|0|0|0|0|0|1.0|0.0|1|4.0|7.0|0|0.0|0|0.0|0|0|0.0|0|4904.73|0.0|0|1365.0|33.0|1.0
8|0|0|0|0|0|0|0|2.0|5.0|0|1.0|8.0|0|0.0|1|0.0|0|0|0.0|0|0.0|6069.46|0|14000.0|66.0|1.0
9|0|0|0|0|0|0|0|7.0|0.0|0|0.0|6.0|1|0.0|1|0.0|0|1|0.0|0|2349.65|1157.72|0|12900.0|38.0|1.0
10|0|0|0|0|0|0|0|4.0|0.0|0|3.0|9.0|0|0.0|0|0.0|0|0|0.0|0|0.0|469.64|1|6000.0|61.0|0.0
11|0|0|0|0|0|0|0|8.0|0.0|0|1.0|9.0|0|0.0|1|0.0|1|0|0.0|0|0.0|800.92|0|10000.0|45.0|0.0
12|1|0|0|0|1|1|0|23.0|4.0|1|0.0|6.0|0|3.0|0|0.0|0|0|0.0|0|0.0|0.0|1|18000.0|35.0|0.0
13|0|0|0|0|0|0|0|5.0|0.0|0|4.0|9.0|0|0.0|1|0.0|1|0|0.0|1|0.0|0.0|0|4600.0|31.0|1.0
14|0|0|1|0|1|0|0|12.0|4.0|0|4.0|9.0|0|0.0|1|322198.31|0|0|0.0|1|7665.13|3550.66|0|14000.0|30.0|1.0
15|0|0|0|0|0|0|0|1.0|8.0|1|3.0|9.0|0|0.0|0|0.0|0|0|0.0|0|7112.97|3609.29|1|3550.0|42.0|1.0
16|0|0|0|0|0|0|0|9.0|0.0|0|2.0|8.0|0|3.0|0|0.0|0|0|0.0|0|0.0|0.0|1|5300.0|54.0|0.0
17|0|1|0|0|0|1|0|12.0|0.0|0|2.0|0.0|0|0.0|0|361630.03|0|1|0.0|0|0.0|0.0|1|13550.0|41.0|0.0
18|1|0|0|0|0|1|0|17.0|4.0|0|1.0|7.0|0|2.0|1|277873.45|1|1|0.0|0|2798.29|562.34|1|18000.0|33.0|0.0
19|0|1|0|0|0|0|0|23.0|7.0|0|1.0|7.0|0|0.0|0|0.0|0|0|0.0|0|7096.34|5455.41|1|13400.0|35.0|1.0
20|0|0|1|0|1|1|0|21.0|4.0|0|1.0|6.0|1|3.0|0|0.0|0|0|0.0|0|1691.72|0.0|0|18000.0|45.0|0.0
21|0|0|0|0|0|1|0|4.0|0.0|0|2.0|10.0|0|0.0|0|0.0|1|1|0.0|0|0.0|1977.03|0|15000.0|54.0|1.0
22|0|0|0|0|0|1|0|4.0|8.0|1|2.0|11.0|0|2.0|0|0.0|0|0|0.0|0|0.0|4804.36|1|18000.0|45.0|1.0
23|0|0|0|0|0|0|0|2.0|6.0|0|3.0|8.0|0|2.0|1|0.0|0|0|0.0|0|0.0|0.0|0|2900.0|66.0|0.0
